French,English
histoire,history
police,police
pensais,thought
demande,request
mois,month
frère,brother
laisser,let
aucun,no
laisse,leash
eux,them
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
pouvoir,power
sois,be
tiens,here
tellement,so much
venu,came
suite,after
pardon,sorry
venez,come
vers,towards
demandé,request
droit,law
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
boulot,job
compte,account
donne,given
loin,far
fin,end
croire,believe
plutôt,rather
aura,will have
